[1727600, 966500, 3657300, 6395100, 35072300, 72117300, 308457900, 1290959300, 4823397600]
[54300, 176800, 1173800, 6008000, 23132700, 84814200, 426790600, 1962651100, 7214661500]
[38100, 220200, 1023800, 5079000, 26391700, 80059000, 407866400, 1464456200, 6739439400]
[37300, 181500, 1162700, 4979500, 24829200, 122142700, 550631400, 2641274800, 11683455200]
[42500, 172600, 948100, 3142600, 21038300, 100947500, 534587800, 2917694100, 11989463800]
[46600, 241200, 1196900, 6930900, 40197300, 205933800, 745114500, 3807256400, 23379946700]
[33100, 199100, 895100, 4498400, 20935800, 89033000, 443757000, 2199907500, 9998171900]
[39000, 165200, 1046900, 4623900, 25937000, 106202100, 550712500, 2617002800, 12184113700]
[33700, 155600, 611600, 3659000, 14744300, 79184500, 307378800, 1696531800, 5376788100]
[37000, 162900, 948500, 3213500, 19554500, 107049700, 343236300, 2106294200, 8943674700]
[35900, 156000, 824900, 3824800, 13716300, 82801400, 277898500, 1514889500, 6965395500]
[45600, 172300, 1064500, 4048900, 27053300, 105328700, 619765700, 2315589500, 13805758300]
[38100, 176900, 782500, 5413300, 22416400, 95772100, 467052300, 1497608000, 8444342000]
[43600, 260000, 1736900, 8753800, 49147800, 223749700, 975887600, 6143420700, 25079736200]
[47300, 251000, 1544300, 7007700, 34967800, 151482200, 660925100, 2249203900, 7877375600]
[32600, 189300, 1280200, 8414200, 32024500, 158357000, 619120100, 2738231300, 11110123700]
[38500, 149800, 962100, 3779300, 17700300, 65072900, 311562500, 1242625700, 5869615200]
[36900, 161500, 1292700, 7963800, 32756300, 142931000, 727925700, 2469682700, 12616510200]
[46300, 167800, 1047900, 4466600, 24600500, 76007100, 410808300, 1340870500, 6520008400]
[36600, 146700, 1045100, 5758000, 26060100, 110707600, 466026100, 1607252200, 6428050000]
[57800, 166500, 944200, 3349200, 17012000, 74418700, 309221300, 1170805900, 5499073200]
[70200, 205200, 940700, 4234300, 23339500, 108515700, 475745400, 2250822800, 7898477400]
[37800, 164500, 1182300, 4622600, 19328700, 75071300, 303523900, 1030542300, 4150170200]
[40600, 163600, 1225600, 5942100, 26919000, 123296900, 551545900, 1921722800, 6827331900]
[27300, 118200, 519600, 2479100, 9547700, 40740100, 152164500, 683522100, 2367360000]
[35500, 133000, 819700, 3490500, 17609400, 63584100, 299877600, 977330800, 4261483000]
[23300, 155400, 565900, 3245100, 11014800, 55039600, 159473100, 794368900, 2438349200]
[30900, 102100, 620800, 2744100, 13280800, 46170400, 175615000, 539455100, 2594491100]
[32400, 90600, 493300, 1665400, 7618200, 28490000, 130943100, 466608400, 1968999600]
[32400, 106900, 511700, 1959500, 11245800, 41713000, 173726300, 793296600, 2688591600]
[25800, 80000, 326300, 1492200, 6040000, 27453700, 158455000, 424034600, 1968958500]
[27000, 72600, 282200, 821300, 4938500, 17869000, 43104600, 161128600, 699506300]
[26500, 94200, 342000, 1159200, 4160900, 10465000, 59618200, 101112500, 593860200]
[26300, 62000, 324100, 1151200, 4158000, 13423500, 41274500, 157057500, 509006400]
[20300, 56500, 198900, 840600, 4087900, 12644500, 43786100, 140900800, 478712000]
[21300, 64700, 281800, 1715300, 5907400, 22643600, 71641100, 263183900, 618847300]
[27800, 68300, 583900, 2188500, 14200000, 42768800, 155731000, 368336800, 1022201700]
[17900, 62300, 215200, 1151700, 3350300, 10611700, 27394700, 83762600, 178250400]
[25000, 51600, 223500, 759700, 2725200, 5935200, 18141300, 44479400, 116148800]
[20500, 45800, 179500, 548000, 1408200, 4786500, 10301800, 25788600, 54134400]
[20600, 45400, 162300, 487400, 1374600, 2632300, 7567500, 13778300, 22798700]
[18900, 37800, 134600, 298300, 927600, 2367400, 4887800, 8651500, 18087800]
[15000, 25800, 132200, 343800, 1073700, 2209900, 4307600, 6324800, 1879100]
[15900, 33100, 92700, 257300, 651600, 1136900, 1356000, 1085600, 1070000]
[14600, 26300, 68200, 148500, 311000, 384900, 323000, 314300, 326800]
[13200, 20700, 41600, 70900, 130600, 98600, 99300, 93700, 91800]
[12100, 14000, 32400, 46900, 36100, 35500, 36600, 36300, 36800]
[11100, 7900, 10400, 11400, 9700, 16700, 9600, 9600, 9700]
[9300, 6200, 7900, 6200, 6000, 6100, 6000, 6100, 6200]
[7100, 3900, 2900, 2600, 2600, 2600, 2600, 2600, 2600]
[9800, 1700, 1400, 1400, 1400, 1400, 1400, 1500, 1500]
[36200, 228600, 1157300, 5120100, 19778100, 101719400, 343250800, 1124172600, 3688025300]
[31800, 116700, 775400, 3852100, 20946000, 81918600, 366668200, 1345637800, 5784400800]
[34100, 192700, 1117300, 5101000, 19260100, 93871700, 264873700, 1097912900, 4604784400]
[30300, 131500, 731300, 4847400, 23546700, 56748700, 293911200, 993194800, 4136936100]
[34700, 182600, 675200, 3155200, 13493500, 68226400, 342075600, 1106341600, 5357432300]
[42700, 150800, 925900, 5321600, 22034000, 84007800, 384416800, 1800146300, 6949816000]
[47100, 193700, 898400, 3457500, 18379100, 73677200, 425697100, 1484782600, 7253999500]
[34700, 165400, 1150700, 6438200, 28555500, 180632400, 871181700, 4129577600, 18678475400]
[52600, 263400, 1534600, 6445300, 38514900, 144603600, 711276600, 2808052800, 13793709300]
[58000, 276600, 1499000, 11664900, 54522500, 245613600, 1130369500, 5714577700, 21394670800]
[36300, 190600, 1108200, 5258000, 30073600, 140217200, 716673200, 3249361000, 13102257500]
[30300, 110900, 849000, 4434800, 31491500, 123862700, 667666300, 2757968000, 12379673400]
[29800, 150100, 800400, 4692000, 24600100, 124251800, 490354200, 2295893800, 8784919600]
[37300, 189300, 1249000, 5861000, 29699200, 155781600, 801244800, 3300443700, 15089376100]
