Avancement;Indice Position;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
1;1000;0;0;0;0;0;0;0;0
